State Names,UN Membership,Sovereignty,More Information
United States– United States of America,AUN member state,ANone,"The United States is afederationof50 states, one federal district, and one incorporated territory(Palmyra Atoll).Additionally, thefederal government of the United Stateshas sovereignty over 13unincorporated territories. Of these unincorporated territories, five are inhabited possessions:American SamoaGuamNorthern Mariana IslandsPuerto RicoU.S. Virgin IslandsThe United States also has sovereignty over eight uninhabited territories:Baker IslandHowland IslandJarvis IslandJohnston AtollKingman ReefMidway AtollNavassa IslandWake IslandThe United States disputes sovereignty over two territories:Bajo Nuevo BankSerranilla BankThree sovereign states have becomeassociated statesof the United States under theCompact of Free Association:Marshall IslandsFederated States of MicronesiaPalau"
Uruguay– Oriental Republic of Uruguay,AUN member state,ANone,
Uzbekistan– Republic of Uzbekistan,AUN member state,ANone,"Uzbekistan contains one autonomous region,Karakalpakstan.[h]"
Vanuatu– Republic of Vanuatu,AUN member state,ANone,
Vatican City– Vatican City State,"AUN General Assembly observer stateunder the designation of ""Holy See""; member of threeUN specialized agencies",ANone,"Administered by theHoly See, a sovereign entity with diplomatic relations to183 states(including 180 UN member states, theCook Islands, theRepublic of China (Taiwan), andPalestine).[58]In addition, theEuropean Unionand theSovereign Military Order of Maltamaintain diplomatic relations with the Holy See. The Holy See is a member of threeUN specialized agencies(ITU,UPU, andWIPO) and theIAEA, as well as being a permanent observer of the UN (in the category of ""Non-member State"")[52]andmultiple other UN System organizations. The Vatican City is governed by officials appointed by thePope, who is the Bishop of the Diocese of Rome andex officiosovereign of Vatican City."
Venezuela– Bolivarian Republic of Venezuela,AUN member state,ANone,"Venezuela is afederationof23 states,one capital district, and federal dependencies."
Vietnam– Socialist Republic of Vietnam,AUN member state,ANone,
Yemen– Republic of Yemen,AUN member state,ANone,
Zambia– Republic of Zambia,AUN member state,ANone,
Zimbabwe– Republic of Zimbabwe,AUN member state,ANone,
